VetID,VetName,Specialisation,PhoneNo,Email,Address
V1000,Brigitte Ernser,Cardiology,59194183,brigitteernser24@gmail.com,"30711 Rogahn Tunnel, Lake Edatown"
V1001,Cristopher Pollich,Dermatology,53536240,cristopherpollich.McCullough@hotmail.com,"12730 Nienow Club, Tressieview"
V1002,Alexane Dach,Cardiology,56977052,alexanedach_Fahey@yahoo.com,"312 Farrell Oval, Theresahaven"
V1003,Jody Rath,Surgery,54010638,jodyrath88@yahoo.com,"9435 Harvey Overpass, Nathenville"
V1004,Maryse Bergnaum,Dentistry,56070641,marysebergnaum.Dickinson46@yahoo.com,"47795 Nader Plains, Lake Mohammadville"
V1005,Kayley Kovacek,Dentistry,55391841,kayleykovacek23@hotmail.com,"06751 Jameson Mountains, Port Barbarafort"
V1006,Toney Spencer,Dermatology,57283347,toneyspencer12@hotmail.com,"64651 Eldora Trafficway, Nasirhaven"
V1007,Sigmund Koelpin,Cardiology,57217603,sigmundkoelpin_Volkman56@gmail.com,"799 Kaya Harbors, Toyview"
V1008,Donavon O'Conner,Neurology,52754791,donavonoconner_Barton@hotmail.com,"2787 Will Prairie, Deontaeshire"
V1009,Greyson Renner,Surgery,59968081,greysonrenner.Rempel31@hotmail.com,"21157 Stacy Locks, West Vancehaven"
V1010,Hailey McCullough,Neurology,51349280,haileymccullough60@hotmail.com,"485 Moen Road, Barrowsview"
V1011,Lulu Borer,Neurology,56243097,luluborer.Wiza26@hotmail.com,"54626 Oberbrunner Lock, New Holly"
V1012,Annette MacGyver,Neurology,52597183,annettemacgyver_Osinski14@gmail.com,"3659 Thiel Extensions, Osinskifurt"
V1013,Garrick Kub,Surgery,55562012,garrickkub.Gorczany31@yahoo.com,"313 Nikolaus Courts, Dickitown"
V1014,Marianna Gusikowski,Dermatology,58636572,mariannagusikowski_Collier29@hotmail.com,"585 Dannie Way, North Horacio"
V1015,Shanna Ryan,Surgery,57606343,shannaryan_Ledner44@gmail.com,"904 Keyshawn Falls, Port Laury"
V1016,Lucy Graham,Surgery,56818024,lucygraham_Upton@yahoo.com,"805 Jessika Grove, East Kobe"
